Record not found / Not awarded,“for groundbreaking contributions to our understanding of complex systems”,Physics,2021
Syukuro Manabe and Klaus Hasselmann," “for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming”",Physics,2021
Giorgio Parisi, “for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales”,Physics,2021
Benjamin List and David MacMillan, “for the development of asymmetric organocatalysis”,Chemistry,2021
David Julius and Ardem Patapoutian, “for their discoveries of receptors for temperature and touch”,Physiology or Medicine,2021
Abdulrazak Gurnah, “for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents”,Literature,2021
Maria Ressa and Dmitry Muratov," “for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace”",Peace Prize,2021
David Card, “for his empirical contributions to labour economics”,Economic Sciences in Memory of Alfred Nobel,2021
Joshua D. Angrist and Guido W. Imbens, “for their methodological contributions to the analysis of causal relationships”,Economic Sciences in Memory of Alfred Nobel,2021
Record not found / Not awarded,2020,Economic Sciences in Memory of Alfred Nobel,2021
Roger Penrose, “for the discovery that black hole formation is a robust prediction of the general theory of relativity”,Physics,2020
Reinhard Genzel and Andrea Ghez, “for the discovery of a supermassive compact object at the centre of our galaxy,Physics,2020
Emmanuelle Charpentier and Jennifer A. Doudna, “for the development of a method for genome editing”,Chemistry,2020
"Harvey J. Alter, Michael Houghton and Charles M. Rice", “for the discovery of Hepatitis C virus”.,Physiology or Medicine,2020
Louise Glück, “for her unmistakable poetic voice that with austere beauty makes individual existence universal”.,Literature,2020
World Food Programme (WFP)," “for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict”",Peace Prize,2020
Paul R. Milgrom and Robert B. Wilson, “for improvements to auction theory and inventions of new auction formats”,Economic Sciences in Memory of Alfred Nobel,2020
Record not found / Not awarded,2019,Economic Sciences in Memory of Alfred Nobel,2020
Record not found / Not awarded,“for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos”,Physics,2019
James Peebles, “for theoretical discoveries in physical cosmology”,Physics,2019
Michel Mayor and Didier Queloz, “for the discovery of an exoplanet orbiting a solar-type star”,Physics,2019
"John B. Goodenough, M. Stanley Whittingham and Akira Yoshino", “for the development of lithium-ion batteries”,Chemistry,2019
"William G. Kaelin Jr, Sir Peter J. Ratcliffe and Gregg L. Semenza", “for their discoveries of how cells sense and adapt to oxygen availability”,Physiology or Medicine,2019
Peter Handke, “for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience”,Literature,2019
Abiy Ahmed Ali," “for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea”",Peace Prize,2019
"Abhijit Banerjee, Esther Duflo and Michael Kremer", “for their experimental approach to alleviating global poverty”,Economic Sciences in Memory of Alfred Nobel,2019
Frances H. Arnold, “for the directed evolution of enzymes”,Chemistry,2018
George P. Smith and Sir Gregory P. Winter, “for the phage display of peptides and antibodies”,Chemistry,2018
Olga Tokarczuk, “for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life”,Literature,2018
William D. Nordhaus, “for integrating climate change into long-run macroeconomic analysis”,Economic Sciences in Memory of Alfred Nobel,2018
Paul M. Romer, “for integrating technological innovations into long-run macroeconomic analysis”,Economic Sciences in Memory of Alfred Nobel,2018
Record not found / Not awarded,“for discoveries concerning channels in cell membranes”,Chemistry,2003
Record not found / Not awarded,“for the development of methods for identification and structure analyses of biological macromolecules”,Chemistry,2002
Record not found / Not awarded,“for basic work on information and communication technology”,Physics,2000
Record not found / Not awarded,“for pioneering experimental contributions to lepton physics”,Physics,1995
Record not found / Not awarded,“for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter”,Physics,1994
Record not found / Not awarded,“for contributions to the developments of methods within DNA-based chemistry”,Chemistry,1993
The 14th Dalai Lama (Tenzin Gyatso),“for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people”,Peace Prize,1989
International Physicians for the Prevention of Nuclear War,“for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war”,Peace Prize,1985
Office of the United Nations High Commissioner for Refugees (UNHCR),“for promoting the fundamental rights of refugees”,Peace Prize,1981
